danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
0.511,0.273,0.19,0.00238,0.0475,110.113,2,Upbeat Happy Songs
0.636,0.537,0.481,0.0,0.199,140.133,2,Upbeat Happy Songs
0.636,0.448,0.224,0.0,0.222,87.888,2,Upbeat Happy Songs
0.636,0.501,0.413,0.0,0.196,82.309,2,Upbeat Happy Songs
0.761,0.386,0.355,0.0,0.526,134.943,2,Upbeat Happy Songs
0.761,0.443,0.525,1.83e-05,0.626,138.995,2,Upbeat Happy Songs
0.886,0.336,0.557,0.0,0.536,100.044,2,Upbeat Happy Songs
0.315,0.296,0.771,0.0,0.435,173.509,2,Upbeat Happy Songs
0.44,0.465,0.689,1.26e-06,0.241,126.937,2,Upbeat Happy Songs
0.44,0.274,0.0924,3.37e-06,0.343,76.513,2,Upbeat Happy Songs
0.44,0.317,0.891,4.78e-06,0.268,169.914,2,Upbeat Happy Songs
0.44,0.337,0.583,3.79e-06,0.157,58.9,2,Upbeat Happy Songs
0.44,0.573,0.581,0.0,0.442,178.192,2,Upbeat Happy Songs
0.44,0.636,0.564,0.0,0.687,158.475,2,Upbeat Happy Songs
0.505,0.281,0.57,0.000254,0.283,82.338,2,Upbeat Happy Songs
0.505,0.63,0.572,0.0,0.247,85.036,2,Upbeat Happy Songs
0.505,0.451,0.727,0.0,0.744,74.347,2,Upbeat Happy Songs
0.505,0.339,0.743,0.0,0.415,153.675,2,Upbeat Happy Songs
0.63,0.53,0.4,0.0,0.417,108.038,2,Upbeat Happy Songs
0.63,0.437,0.231,0.0,0.455,131.996,2,Upbeat Happy Songs
0.63,0.446,0.337,0.0,0.177,143.078,2,Upbeat Happy Songs
0.755,0.43,0.302,2.71e-06,0.325,115.964,2,Upbeat Happy Songs
0.312,0.404,0.184,0.0,0.115,138.425,2,Upbeat Happy Songs
0.437,0.384,0.699,2.33e-05,0.181,139.009,2,Upbeat Happy Songs
