danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
0.851,0.806,0.119,1.72e-06,0.774,119.001,0,Energetic Dance Tracks
0.851,0.703,0.00949,2.57e-05,0.596,74.017,0,Energetic Dance Tracks
0.851,0.43,0.000213,0.887,0.504,128.049,0,Energetic Dance Tracks
0.851,0.652,0.0317,0.0,0.696,119.944,0,Energetic Dance Tracks
0.851,0.647,0.00147,0.00251,0.318,126.016,0,Energetic Dance Tracks
0.851,0.621,0.0233,0.0,0.532,150.969,0,Energetic Dance Tracks
0.851,0.849,0.497,2.05e-06,0.844,120.014,0,Energetic Dance Tracks
0.851,0.726,0.0456,0.0,0.659,103.817,0,Energetic Dance Tracks
0.851,0.629,0.00705,0.000372,0.789,125.984,0,Energetic Dance Tracks
0.485,0.911,8.67e-05,0.0,0.568,89.956,0,Energetic Dance Tracks
0.485,0.834,0.0665,0.0,0.659,90.933,0,Energetic Dance Tracks
0.485,0.555,0.132,0.0,0.617,80.015,0,Energetic Dance Tracks
0.595,0.932,0.0691,0.000329,0.672,119.81,0,Energetic Dance Tracks
0.595,0.823,0.0385,1.35e-06,0.745,108.99,0,Energetic Dance Tracks
0.595,0.715,0.0374,0.0,0.722,134.498,0,Energetic Dance Tracks
0.595,0.904,0.03,4.43e-05,0.6,102.002,0,Energetic Dance Tracks
0.595,0.639,0.0663,0.0,0.7,95.912,0,Energetic Dance Tracks
0.595,0.923,0.0693,0.0,0.782,125.029,0,Energetic Dance Tracks
0.595,0.679,0.0269,0.0,0.643,97.421,0,Energetic Dance Tracks
0.595,0.912,0.0434,0.0,0.762,128.024,0,Energetic Dance Tracks
0.72,0.844,0.00724,0.00017,0.864,92.489,0,Energetic Dance Tracks
0.72,0.537,0.0924,0.000113,0.198,88.002,0,Energetic Dance Tracks
0.72,0.548,0.00269,0.000118,0.709,99.004,0,Energetic Dance Tracks
0.72,0.808,0.00793,0.0293,0.869,126.041,0,Energetic Dance Tracks
0.72,0.513,0.118,0.0,0.304,89.004,0,Energetic Dance Tracks
0.72,0.734,0.0856,0.0,0.37,115.999,0,Energetic Dance Tracks
0.72,0.672,0.009,0.0,0.705,124.986,0,Energetic Dance Tracks
0.72,0.913,0.00303,6.24e-05,0.8,124.997,0,Energetic Dance Tracks
0.72,0.909,0.0904,0.0,0.877,91.022,0,Energetic Dance Tracks
0.72,0.668,0.0653,0.00675,0.769,123.005,0,Energetic Dance Tracks
0.72,0.767,0.0387,0.0,0.595,88.966,0,Energetic Dance Tracks
0.72,0.715,0.258,0.0568,0.357,107.041,0,Energetic Dance Tracks
0.72,0.744,0.237,0.0,0.619,78.953,0,Energetic Dance Tracks
0.72,0.791,0.0384,0.0,0.756,102.071,0,Energetic Dance Tracks
0.72,0.654,0.227,0.0,0.411,106.976,0,Energetic Dance Tracks
0.72,0.706,0.0684,0.0,0.62,133.002,0,Energetic Dance Tracks
0.845,0.766,0.212,0.0,0.782,114.054,0,Energetic Dance Tracks
0.845,0.567,0.59,0.00142,0.793,125.02,0,Energetic Dance Tracks
0.845,0.705,0.0218,0.0,0.334,132.05,0,Energetic Dance Tracks
0.845,0.864,0.577,0.000896,0.959,166.531,0,Energetic Dance Tracks
0.845,0.801,0.251,0.0,0.666,107.012,0,Energetic Dance Tracks
0.845,0.565,0.0112,0.0,0.625,79.972,0,Energetic Dance Tracks
0.845,0.503,0.027,0.0,0.416,147.031,0,Energetic Dance Tracks
0.845,0.467,0.0586,0.0,0.702,138.007,0,Energetic Dance Tracks
0.845,0.561,0.211,3.49e-06,0.811,109.974,0,Energetic Dance Tracks
0.97,0.463,0.0957,0.0,0.46,108.003,0,Energetic Dance Tracks
0.482,0.847,0.081,0.0,0.592,76.01,0,Energetic Dance Tracks
0.589,0.713,0.000778,0.0,0.54,97.069,0,Energetic Dance Tracks
0.589,0.893,0.0273,0.0,0.94,92.011,0,Energetic Dance Tracks
0.589,0.913,0.0133,0.0,0.805,131.979,0,Energetic Dance Tracks
0.589,0.809,0.231,0.0,0.496,88.965,0,Energetic Dance Tracks
0.589,0.89,0.000481,0.00082,0.687,90.586,0,Energetic Dance Tracks
0.589,0.952,0.0327,0.00103,0.771,119.967,0,Energetic Dance Tracks
0.589,0.704,0.151,0.0,0.437,84.956,0,Energetic Dance Tracks
0.589,0.923,0.00252,0.000214,0.641,108.501,0,Energetic Dance Tracks
0.589,0.655,0.057,0.000353,0.675,105.272,0,Energetic Dance Tracks
0.589,0.867,0.041,0.0,0.795,94.52,0,Energetic Dance Tracks
0.714,0.774,0.219,0.0,0.887,125.199,0,Energetic Dance Tracks
0.714,0.665,0.0996,0.0,0.842,78.515,0,Energetic Dance Tracks
0.714,0.834,0.0335,0.0,0.873,169.088,0,Energetic Dance Tracks
0.714,0.582,0.0129,0.0,0.338,92.819,0,Energetic Dance Tracks
0.714,0.833,0.00249,0.0,0.663,129.964,0,Energetic Dance Tracks
0.714,0.6,0.0465,0.0,0.504,82.017,0,Energetic Dance Tracks
0.714,0.862,0.0305,0.0,0.887,92.849,0,Energetic Dance Tracks
0.714,0.67,0.341,1.89e-06,0.771,82.008,0,Energetic Dance Tracks
0.714,0.766,0.0144,0.0,0.597,124.998,0,Energetic Dance Tracks
0.714,0.645,0.229,0.00083,0.434,85.046,0,Energetic Dance Tracks
0.714,0.728,0.298,0.0,0.901,114.996,0,Energetic Dance Tracks
0.714,0.8,0.127,0.0,0.589,134.002,0,Energetic Dance Tracks
0.714,0.747,0.054,0.0,0.765,119.899,0,Energetic Dance Tracks
0.714,0.846,0.00146,0.0,0.634,141.976,0,Energetic Dance Tracks
0.714,0.563,0.0266,0.0,0.31,100.091,0,Energetic Dance Tracks
0.839,0.813,0.0744,0.0,0.711,79.816,0,Energetic Dance Tracks
0.839,0.81,0.501,0.0,0.814,129.014,0,Energetic Dance Tracks
0.839,0.506,0.00207,0.0,0.44,154.12,0,Energetic Dance Tracks
0.839,0.859,0.192,0.0,0.443,99.029,0,Energetic Dance Tracks
0.839,0.521,0.245,0.00545,0.33,105.992,0,Energetic Dance Tracks
0.839,0.912,0.141,0.0,0.644,97.241,0,Energetic Dance Tracks
0.839,0.612,0.484,0.0,0.891,152.0,0,Energetic Dance Tracks
0.839,0.625,0.0752,0.0,0.731,95.511,0,Energetic Dance Tracks
0.839,0.641,0.0324,4.56e-06,0.927,97.004,0,Energetic Dance Tracks
0.839,0.683,0.00667,0.0,0.522,120.003,0,Energetic Dance Tracks
0.839,0.69,0.207,8.33e-06,0.744,151.991,0,Energetic Dance Tracks
0.839,0.508,0.00974,0.0,0.559,82.027,0,Energetic Dance Tracks
0.839,0.804,0.0192,0.0,0.888,122.973,0,Energetic Dance Tracks
0.839,0.665,0.144,0.0,0.583,130.046,0,Energetic Dance Tracks
0.964,0.605,0.0668,7.78e-06,0.646,129.996,0,Energetic Dance Tracks
0.964,0.487,0.00127,6.07e-06,0.108,127.05,0,Energetic Dance Tracks
0.964,0.398,0.00151,3.95e-05,0.563,105.012,0,Energetic Dance Tracks
0.964,0.595,0.0248,5.14e-06,0.629,128.593,0,Energetic Dance Tracks
0.354,0.79,0.291,0.0,0.652,74.179,0,Energetic Dance Tracks
0.479,0.606,0.0241,0.0,0.626,88.573,0,Energetic Dance Tracks
0.583,0.791,0.318,0.0,0.488,81.362,0,Energetic Dance Tracks
0.583,0.658,0.0149,0.0,0.437,76.004,0,Energetic Dance Tracks
0.583,0.712,0.263,1.02e-06,0.614,128.911,0,Energetic Dance Tracks
0.583,0.412,0.0976,0.0,0.499,84.952,0,Energetic Dance Tracks
0.583,0.782,0.00499,0.000131,0.682,120.024,0,Energetic Dance Tracks
0.583,0.859,0.0183,0.0,0.772,97.998,0,Energetic Dance Tracks
0.583,0.812,0.131,0.0,0.408,89.992,0,Energetic Dance Tracks
0.583,0.66,0.181,0.0,0.861,151.956,0,Energetic Dance Tracks
0.708,0.797,0.4,0.0,0.51,88.015,0,Energetic Dance Tracks
0.708,0.731,0.0189,4.47e-06,0.379,116.975,0,Energetic Dance Tracks
0.708,0.654,0.0556,0.0,0.697,168.032,0,Energetic Dance Tracks
0.708,0.598,0.037,0.0,0.698,112.027,0,Energetic Dance Tracks
0.708,0.708,0.316,0.0,0.667,95.031,0,Energetic Dance Tracks
0.708,0.857,0.00219,0.0,0.449,126.051,0,Energetic Dance Tracks
0.708,0.793,0.0442,2.62e-06,0.503,94.005,0,Energetic Dance Tracks
0.708,0.728,0.011,2.26e-05,0.704,119.881,0,Energetic Dance Tracks
0.708,0.861,0.1,0.0,0.795,130.043,0,Energetic Dance Tracks
0.708,0.655,0.0583,2.1e-06,0.545,89.99,0,Energetic Dance Tracks
0.708,0.608,0.188,0.0024,0.897,121.997,0,Energetic Dance Tracks
0.708,0.587,0.273,0.0,0.554,83.46,0,Energetic Dance Tracks
0.708,0.737,0.0739,0.00162,0.607,91.986,0,Energetic Dance Tracks
0.833,0.467,0.0339,0.0,0.767,139.971,0,Energetic Dance Tracks
0.833,0.43,0.0606,0.00331,0.461,148.074,0,Energetic Dance Tracks
0.833,0.628,0.0949,1.6e-06,0.645,106.328,0,Energetic Dance Tracks
0.833,0.691,0.139,2.99e-05,0.866,110.985,0,Energetic Dance Tracks
0.833,0.6,0.204,0.0,0.491,133.22,0,Energetic Dance Tracks
0.833,0.688,0.00211,0.0,0.375,145.03,0,Energetic Dance Tracks
0.833,0.507,0.0499,5.33e-05,0.76,109.345,0,Energetic Dance Tracks
0.833,0.568,0.0262,0.0,0.369,89.958,0,Energetic Dance Tracks
0.833,0.467,0.554,1.11e-05,0.815,128.918,0,Energetic Dance Tracks
0.833,0.895,0.0928,0.966,0.807,93.007,0,Energetic Dance Tracks
0.833,0.751,0.0113,0.0,0.716,98.039,0,Energetic Dance Tracks
0.833,0.441,0.392,0.0,0.762,127.658,0,Energetic Dance Tracks
0.833,0.921,0.000153,0.000204,0.511,127.92,0,Energetic Dance Tracks
0.833,0.673,0.329,0.0,0.753,148.019,0,Energetic Dance Tracks
0.958,0.597,0.0457,0.0,0.619,127.932,0,Energetic Dance Tracks
0.476,0.926,0.353,0.0,0.52,86.252,0,Energetic Dance Tracks
0.476,0.81,0.0803,0.0,0.642,83.309,0,Energetic Dance Tracks
0.476,0.663,0.182,0.0,0.524,74.884,0,Energetic Dance Tracks
0.476,0.596,0.108,0.0,0.549,80.74,0,Energetic Dance Tracks
0.577,0.742,0.505,0.0,0.752,131.912,0,Energetic Dance Tracks
0.577,0.827,0.163,0.0,0.815,90.115,0,Energetic Dance Tracks
0.577,0.881,0.0634,0.0,0.678,91.885,0,Energetic Dance Tracks
0.577,0.657,0.179,0.0,0.624,81.952,0,Energetic Dance Tracks
0.577,0.833,0.0137,0.0,0.58,107.936,0,Energetic Dance Tracks
0.577,0.864,0.02,1.71e-06,0.609,97.225,0,Energetic Dance Tracks
0.577,0.668,0.105,0.0,0.702,60.709,0,Energetic Dance Tracks
0.577,0.761,0.0377,0.0,0.599,104.991,0,Energetic Dance Tracks
0.577,0.747,0.133,0.0,0.502,94.954,0,Energetic Dance Tracks
0.577,0.681,0.0138,0.0,0.539,83.597,0,Energetic Dance Tracks
0.702,0.781,0.433,0.0,0.382,102.997,0,Energetic Dance Tracks
0.702,0.705,0.258,5.93e-06,0.743,154.911,0,Energetic Dance Tracks
0.702,0.768,0.541,0.0,0.574,70.056,0,Energetic Dance Tracks
0.702,0.826,0.314,0.000227,0.328,80.011,0,Energetic Dance Tracks
0.702,0.76,0.00226,0.0,0.696,129.996,0,Energetic Dance Tracks
0.702,0.715,0.503,2.44e-05,0.863,127.048,0,Energetic Dance Tracks
0.702,0.825,0.00883,0.0,0.915,102.977,0,Energetic Dance Tracks
0.702,0.68,0.24,0.0,0.86,122.895,0,Energetic Dance Tracks
0.702,0.586,0.0388,7.27e-05,0.608,134.951,0,Energetic Dance Tracks
0.702,0.741,0.00544,0.0,0.646,124.925,0,Energetic Dance Tracks
