danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
0.595,0.667,0.296,0.0,0.275,121.943,1,Relaxing Acoustic Tunes
0.595,0.653,0.246,0.0,0.542,128.93,1,Relaxing Acoustic Tunes
0.595,0.656,0.148,0.0,0.416,99.811,1,Relaxing Acoustic Tunes
0.595,0.678,0.0199,0.00389,0.259,117.067,1,Relaxing Acoustic Tunes
0.595,0.623,0.0496,0.0,0.645,149.974,1,Relaxing Acoustic Tunes
0.595,0.792,0.0865,0.0,0.536,119.8,1,Relaxing Acoustic Tunes
0.595,0.534,0.0106,0.00157,0.134,162.066,1,Relaxing Acoustic Tunes
0.72,0.863,0.0174,0.0,0.363,139.98,1,Relaxing Acoustic Tunes
0.72,0.88,0.0562,0.06,0.463,180.011,1,Relaxing Acoustic Tunes
0.72,0.776,0.00549,0.000298,0.135,125.961,1,Relaxing Acoustic Tunes
0.72,0.666,0.00904,0.883,0.383,124.993,1,Relaxing Acoustic Tunes
0.72,0.636,0.00826,0.0,0.203,145.967,1,Relaxing Acoustic Tunes
0.72,0.514,0.146,0.00713,0.212,142.98,1,Relaxing Acoustic Tunes
0.845,0.479,0.0104,1.79e-06,0.35,170.919,1,Relaxing Acoustic Tunes
0.845,0.399,0.00525,0.741,0.148,143.049,1,Relaxing Acoustic Tunes
0.241,0.508,0.0362,0.599,0.0445,140.627,1,Relaxing Acoustic Tunes
0.357,0.743,0.13,0.0017,0.465,98.974,1,Relaxing Acoustic Tunes
0.482,0.873,0.0111,0.0,0.737,165.084,1,Relaxing Acoustic Tunes
0.482,0.833,0.000346,0.0,0.74,148.039,1,Relaxing Acoustic Tunes
0.482,0.757,0.0137,0.0016,0.12,142.579,1,Relaxing Acoustic Tunes
0.482,0.779,0.0135,0.0,0.328,158.162,1,Relaxing Acoustic Tunes
0.482,0.877,0.0526,0.0,0.635,205.037,1,Relaxing Acoustic Tunes
0.482,0.823,0.0386,3.55e-05,0.452,167.665,1,Relaxing Acoustic Tunes
0.482,0.548,0.0363,2.28e-06,0.346,76.017,1,Relaxing Acoustic Tunes
0.589,0.877,0.00121,0.013,0.443,132.971,1,Relaxing Acoustic Tunes
0.589,0.651,0.0291,3.2e-06,0.166,90.011,1,Relaxing Acoustic Tunes
0.589,0.872,0.0151,2.99e-06,0.524,116.986,1,Relaxing Acoustic Tunes
0.589,0.727,0.239,0.0277,0.52,152.058,1,Relaxing Acoustic Tunes
0.589,0.92,0.0342,0.0,0.84,175.095,1,Relaxing Acoustic Tunes
0.589,0.658,0.0242,0.0,0.251,77.521,1,Relaxing Acoustic Tunes
0.589,0.601,0.00307,0.0,0.439,159.871,1,Relaxing Acoustic Tunes
0.589,0.57,0.0456,1.51e-06,0.441,136.203,1,Relaxing Acoustic Tunes
0.589,0.684,0.143,0.0,0.261,112.592,1,Relaxing Acoustic Tunes
0.714,0.722,0.0735,0.0,0.439,143.019,1,Relaxing Acoustic Tunes
0.714,0.68,0.00704,0.0,0.473,140.992,1,Relaxing Acoustic Tunes
0.714,0.527,0.00787,0.00015,0.123,131.046,1,Relaxing Acoustic Tunes
0.839,0.644,0.03,0.0,0.236,141.037,1,Relaxing Acoustic Tunes
0.354,0.475,0.149,0.034,0.0393,114.975,1,Relaxing Acoustic Tunes
0.479,0.906,0.0406,0.0,0.536,155.887,1,Relaxing Acoustic Tunes
0.479,0.544,0.000567,0.0,0.402,148.742,1,Relaxing Acoustic Tunes
0.479,0.627,0.00827,0.0,0.293,157.381,1,Relaxing Acoustic Tunes
0.479,0.645,0.135,0.0,0.381,155.057,1,Relaxing Acoustic Tunes
0.479,0.742,0.0069,0.000834,0.454,142.909,1,Relaxing Acoustic Tunes
0.479,0.63,0.0314,0.0,0.227,117.988,1,Relaxing Acoustic Tunes
0.479,0.768,7.02e-05,0.00549,0.576,110.024,1,Relaxing Acoustic Tunes
0.479,0.892,0.000295,6.31e-05,0.416,156.086,1,Relaxing Acoustic Tunes
0.583,0.637,0.00722,0.0419,0.315,80.004,1,Relaxing Acoustic Tunes
0.583,0.698,0.255,0.0,0.34,129.985,1,Relaxing Acoustic Tunes
0.583,0.655,0.111,3.57e-06,0.201,119.759,1,Relaxing Acoustic Tunes
0.583,0.786,0.0208,0.0,0.573,123.055,1,Relaxing Acoustic Tunes
0.583,0.687,0.11,0.0,0.502,158.129,1,Relaxing Acoustic Tunes
0.583,0.584,0.254,0.0,0.136,140.039,1,Relaxing Acoustic Tunes
0.583,0.621,0.00972,0.00106,0.399,140.036,1,Relaxing Acoustic Tunes
0.583,0.61,0.00425,0.000105,0.336,114.06,1,Relaxing Acoustic Tunes
0.583,0.652,0.0405,0.000378,0.352,97.469,1,Relaxing Acoustic Tunes
0.583,0.577,0.00186,0.941,0.166,168.014,1,Relaxing Acoustic Tunes
0.583,0.68,0.0304,0.0,0.343,97.568,1,Relaxing Acoustic Tunes
0.583,0.769,0.419,0.0,0.785,179.869,1,Relaxing Acoustic Tunes
0.583,0.695,0.0138,0.0,0.224,104.879,1,Relaxing Acoustic Tunes
0.583,0.817,0.118,0.0,0.437,105.935,1,Relaxing Acoustic Tunes
0.583,0.732,0.00315,9.57e-06,0.277,146.005,1,Relaxing Acoustic Tunes
0.583,0.71,0.0245,0.0,0.676,155.919,1,Relaxing Acoustic Tunes
0.708,0.618,0.0204,6.81e-06,0.265,123.013,1,Relaxing Acoustic Tunes
0.708,0.757,0.212,4.83e-06,0.315,171.032,1,Relaxing Acoustic Tunes
0.708,0.612,0.0381,0.0,0.263,139.913,1,Relaxing Acoustic Tunes
0.708,0.807,0.182,0.0,0.702,175.889,1,Relaxing Acoustic Tunes
0.708,0.648,0.0956,0.0,0.338,143.955,1,Relaxing Acoustic Tunes
0.708,0.828,0.402,0.000221,0.543,193.837,1,Relaxing Acoustic Tunes
0.708,0.454,0.0217,0.0,0.24,110.963,1,Relaxing Acoustic Tunes
0.833,0.434,0.0102,0.0219,0.281,150.062,1,Relaxing Acoustic Tunes
0.833,0.498,0.0493,0.0,0.259,139.928,1,Relaxing Acoustic Tunes
0.833,0.652,0.00161,0.0985,0.405,158.022,1,Relaxing Acoustic Tunes
0.351,0.956,0.0949,0.0,0.446,83.655,1,Relaxing Acoustic Tunes
0.351,0.628,0.0994,0.00656,0.387,170.264,1,Relaxing Acoustic Tunes
0.351,0.797,0.0959,4.12e-05,0.243,129.14,1,Relaxing Acoustic Tunes
0.351,0.884,0.0623,0.0,0.408,120.166,1,Relaxing Acoustic Tunes
0.476,0.736,0.0217,1.08e-06,0.251,129.084,1,Relaxing Acoustic Tunes
0.476,0.564,0.0406,0.0,0.167,143.929,1,Relaxing Acoustic Tunes
0.476,0.84,0.11,0.0,0.648,156.254,1,Relaxing Acoustic Tunes
0.476,0.407,0.247,0.0,0.226,178.258,1,Relaxing Acoustic Tunes
0.476,0.895,0.0101,1.02e-06,0.632,108.087,1,Relaxing Acoustic Tunes
0.476,0.777,0.0103,0.0,0.472,167.964,1,Relaxing Acoustic Tunes
0.476,0.952,0.0981,2.91e-06,0.849,170.062,1,Relaxing Acoustic Tunes
0.476,0.829,0.0172,0.00916,0.505,139.198,1,Relaxing Acoustic Tunes
0.476,0.92,0.00485,1.15e-05,0.694,142.952,1,Relaxing Acoustic Tunes
0.476,0.688,0.0953,0.000648,0.353,140.555,1,Relaxing Acoustic Tunes
0.577,0.45,0.357,0.0,0.83,205.863,1,Relaxing Acoustic Tunes
0.577,0.724,0.016,0.0,0.342,93.033,1,Relaxing Acoustic Tunes
0.577,0.576,0.0143,0.0,0.12,133.973,1,Relaxing Acoustic Tunes
0.577,0.483,0.0337,6.22e-06,0.218,135.77,1,Relaxing Acoustic Tunes
0.577,0.727,0.0547,0.0,0.24,112.041,1,Relaxing Acoustic Tunes
0.577,0.604,0.000218,0.000579,0.637,167.719,1,Relaxing Acoustic Tunes
0.577,0.833,0.0313,0.0,0.437,115.945,1,Relaxing Acoustic Tunes
0.577,0.649,0.253,5.03e-06,0.339,130.313,1,Relaxing Acoustic Tunes
