track_id,genres
3MytWN8L7shNYzGl4tAKRp,pop
1zU8j1x3yi9xalMF96pzKp,pop
0NwGC0v03ysCYINtg6ns58,pop
4ABYxlb92WBIjHu7TIKmml,"art pop, pop"
0zo975x58DlXbZllWvfYhg,pop
4e3ZNTAV6PCrdYMUrUlMpQ,"emo, rock, modern rock, pop"
30Y4CV7A6YqtQtTTo7Ue4j,pop
4s8BIKx4Zh6ryAEz8RTlaU,pop
6dTA6y0C2ReQklntzZl8l3,pop
1HCdems7PQZRj42QDWLA0A,pop
4tMzIAFTFdqGBQLdfbPces,pop
4hqJ4bSlYJOXb6Z4SRmzxs,pop
59KOoHFcw5XfICnO57holu,pop
2EFZ9emtKWEglWUQGEQ3P9,pop
12nBPF4Rh4XLFJV0YLN7uj,pop
3yNJkriPzWjkkDAWHIAVUq,pop
4evLyY5Ue1Wesc61t2KXAU,pop
1p80LdxRV74UKvL8gnD7ky,pop
1Iq8oo9XkmmvCQiGOfORiz,pop
5KD6AEm19QnMbfWpfoOHMl,pop
71BqAINEnezjQfxE4VuJfq,pop
4NioO5R9sHEZh4cGzMHyNt,pop
64FzgoLZ3oXu2SriZblHic,pop
1hjRhYpWyqDpPahmSlUTlc,pop
6T0sEnqjmHISIKwFETeeiP,pop
45wMBGri1PORPjM9PwFfrS,pop
1hR8BSuEqPCCZfv93zzzz9,pop
045ZeOHPIzhxxsm8bq5kyE,pop
1K39ty6o1sHwwlZwO6a7wK,pop
6GXgd1BPD9bUpqw5AntGV5,pop
3pv7Q5v2dpdefwdWIvE7yH,pop
2vPMoMDXxu9uX1igWZmXSG,
2ByBBvpR9b7IynvRmnG7kG,
43y1WpBdnEy5TR9aZoSQL9,
2f0GI2ZLUtbGqFx8t2Gk6A,
2ve0kuaWUCt4Zx8x4bf1MR,
75W3SngKzTuoQ94uLf3y82,pop
4UwqOWDpdeIDVQDuKT6iza,pop
3CWq0pAKKTWb0K4yiglDc4,pop
2OzhQlSqBEmt7hmkYxfT6m,"dfw rap, rap, pop, melodic rap"
2F3N9tdombb64aW6VtZOdo,pop
4q5YezDOIPcoLr8R81x9qy,pop
3NMrVbIVWT3fPXBj0rNDKG,pop
3Vevii7qKqrmW8CcyzBHDl,pop
2XXwLdtuAcE0HSCu61ijAb,pop
5og4Qzt92jJzVDkOtSEilb,pop
3ZVFcD8Wlw9T9klGqmJf9F,"neo mellow, baroque pop, modern rock, pop, uk alternative pop"
6kl8thRysTeVV3WvKxgZAy,pop
0W0iAC1VGlB82PI6elxFYf,pop
3fO566xJgwxIa3qGCGBvIC,pop
3YkNIrAvbKNrrwwEd7NVLl,pop
1dhMTsEZz6ZEquGvmzVoHn,pop
1xtw1krCR6Dw2KwkXw5z63,pop
5chnRTB9qMK3W1M41SnU9s,pop
4d9PtIEVij9jW5OaLinH66,pop
7ogK4lJDVDMU6A6vYR5rvD,pop
1GP8VW5Wk2w2obkWjGCGXd,pop
62E2nR0od0M5HYxuYLaDz7,pop
1kcwpPDQnqEqmezzXdJTCP,pop
4EF6IyONolQy0bIQXm2EmX,pop
18WFFUIsewmA8g31KAeo3e,pop
3hlGuz3loYoLfI3bpwieWq,pop
5Bedn0svl0ZD7RGmJkmKKw,pop
1rmEsOezwf2lmIZTMAO5Ag,pop
1Zai5UJ2di3qEuR2HeT2s8,pop
0g4fMVo4JjwnIpTfFfLdxS,pop
3zMDGj4D8ogaYgAIZPeU7S,pop
2913xXOVAIDAqxzV2g4VcU,pop
1DTRUYVd8rYpla9hhVVwjo,pop
2CnjDMdpRjlWv04Xk3s6MW,pop
0hhzNPE68LWLfgZwdpxVdR,"alt z, pop"
0Om9WAB5RS09L80DyOfTNa,pop
7zMcNqs55Mxer82bvZFkpg,pop
15DeqWWQB4dcEWzJg15VrN,pop
32mVHdy0bi1XKgr0ajsBlG,pop
16MVSD0mGI4RMQT83Qzm69,pop
7qEUFOVcxRI19tbT68JcYK,"pop, singer-songwriter pop, uk pop"
1vrd6UOGamcKNGnSHJQlSt,pop
6Eu31gddWw0gOGO506pJYA,pop
6iiAfo4wTA2CVC3Uwx9uh8,pop
6wn61Fzx9XMxQmieLpoIhW,pop
22bPsP2jCgbLUvh82U0Z3M,pop
2nqio0SfWg6gh2eCtfuMa5,pop
7HC7R2D8WjXVcUHJyEGjRs,"neo mellow, dance pop, pop"
550erGcdD9n6PnwxrvYqZT,pop
5vyxXfD5gLlyPxGZMEjtmd,pop
2m3ObD945KvpE5y9A1eUWm,pop
0tQ9vBYpldCuikPsbgOVKA,pop
1cSFlSBdpT4F5vb1frQ231,pop
51A8eKvvZz9uydvIZ7xRSV,pop
1n2wszmJyVkw6FHqyLnQsY,pop
2JoJrsEV15OzbijS47lids,pop
0dBW6ZsW8skfvoRfgeerBF,pop
5xXqyjLicvEpch72qEryFT,pop
3DrjZArsPsoqbLzUZZV1Id,pop
5yEPktRqvIhko5QFF3aBhQ,pop
6d9IiDcFxtFVIvt9pCqyGH,pop
2ythurkTtSiyfK7GprJoFW,pop
28M2gifMU282QBM3fKajIS,pop
10eBRyImhfqVvkiVEGf0N0,pop
1wJL1A0QUHJPf2cm7tsrdw,pop
0kAZ3H6G9Zac4PMpmobMkj,pop
2NIBaWXdjaTDmytjjwbEfP,pop
7AEAGTc8cReDqcbPoY9gwo,pop
7nWui6jiMM2m9qFmET1Mtj,pop
05GsNucq8Bngd9fnd4fRa0,pop
1RvQQGwaPipiNgz8RXAKA8,pop
6FB3v4YcR57y4tXFcdxI1E,pop
6lzc0Al0zfZOIFsFvBS1ki,pop
3yII7UwgLF6K5zW3xad3MP,pop
2r9CbjYgFhtAmcFv1cSquB,pop
5enxwA8aAbwZbf5qCHORXi,pop
7eQj6r5PIdYKEIZjucBMcq,pop
0NRHj8hDwwmSPaA41o379r,pop
4sSUYUpB5epI7xTi5wfpOI,"contemporary country, country road, pop, country"
0RFCHlNuTeUHIB36VuVbOL,pop
5xTtaWoae3wi06K5WfVUUH,pop
6qnM0XXPZOINWA778uNqQ9,pop
4lIxdJw6W3Fg4vUIYCB0S5,pop
59HjlYCeBsxdI0fcm3zglw,pop
6qAcApH8obo8eqatCKUHd9,"rap, hip hop, west coast rap, pop, conscious hip hop"
6rZVy6FIG7lSJQMFXHo12z,pop
55n9yjI6qqXh5F2mYvUc2y,"pop, uk pop"
1P17dC1amhFzptugyAO7Il,pop
2yLa0QULdQr0qAIvVwN6B5,pop
1ZY1PqizIl78geGM4xWlEA,pop
1GwMQaZz6Au3QLDbjbMdme,pop
2x0WlnmfG39ZuDmstl9xfX,"rap, southern hip hop, hip hop, singer-songwriter pop, pop, atl hip hop, uk pop, trap"
6NFyWDv5CjfwuzoCkw47Xf,pop
7fRruZ12gXGwBs0zXQ6e5V,"contemporary country, pop, country dawn, country road, country"
2Rk4JlNc2TPmZe2af99d45,pop
6RRNNciQGZEXnqk8SQ9yv5,
3pHkh7d0lzM2AldUtz2x37,
1dGr1c8CrMLDpV6mPbImSI,
3RauEVgRgj1IuWdJ9fDs70,
43rA71bccXFGD4C8GOpIlN,
4y5bvROuBDPr5fuwXbIBZR,
214nt20w5wOxJnY462klLw,
2YWtcWi3a83pdEg3Gif4Pd,
12M5uqx0ZuwkpLp5rJim1a,
1LLXZFeAHK9R4xUramtUKw,
2dgFqt3w9xIQRjhPtwNk3D,
1SymEzIT3H8UZfibCs3TYi,
5hQSXkFgbxjZo9uCwd11so,
1fzAuUVbzlhZ1lJAx9PtY6,
1SmiQ65iSAbPto6gPFlBYm,
2mvabkN1i2gLnGAPUVdwek,pop
2slqvGLwzZZYsT4K4Y1GBC,pop
4R2kfaDFhslZEMJqAFNpdd,pop
0Jlcvv8IykzHaSmj49uNW8,pop
4pvb0WLRcMtbPGmtejJJ6y,"chamber pop, indie folk, melancholia, eau claire indie, modern rock, pop"
2Eeur20xVqfUoM3Q7EFPFt,pop
1MgV7FIyNxIG7WzMRJV5HC,pop
3hUxzQpSfdDqwM3ZTFQY0K,pop
0ZNU020wNYvgW84iljPkPP,pop
6KJqZcs9XDgVck7Lg9QOTC,pop
6VsvKPJ4xjVNKpI8VVZ3SV,pop
7kt9e9LFSpN1zQtYEl19o1,pop
5kI4eCXXzyuIUXjQra0Cxi,pop
2NmsngXHeC1GQ9wWrzhOMf,pop
2QDyYdZyhlP2fp79KZX8Bi,pop
08fa9LFcFBTcilB3iq2e2A,pop
7MbT4I8qGntX4fMdqMQgke,pop
6MWoRt97mnSTXZhu3ggi9C,pop
0lx2cLdOt3piJbcaXIV74f,pop
0sY6ZUTh4yoctD8VIXz339,pop
3RaT22zZsxVYxxKR7TAaYF,"pop, metropopolis, indietronica"
6sQckd3Z8NPxVVKUnavY1F,pop
5BK0uqwY9DNfZ630STAEaq,pop
0PurA4JVJ8YQgSVopY8fn6,pop
73YUReisjb3A9ActdLLjJQ,pop
6Wlq9rqkxrqj5Kls4Kw14H,"chamber pop, indie folk, melancholia, eau claire indie, modern rock, pop"
19CSr8rwW05VJL2F91KFNK,pop
2awNGIJHodfLZSClB3PYhz,"chamber pop, indie folk, indietronica, modern rock, pop, indie rock"
66tOfHVH3aUrscg8vExRV4,pop
5VYWxXUpxuxEmCqMLDqICo,pop
1XjHRolIXL2M1EEOUsGGR4,pop
12ntTeqEeTg7GAVpe8Mhpl,pop
6a8aUhYbaQBUI8PcJ5ZmQ6,pop
6YvqWjhGD8mB5QXcbcUKtx,pop
5pcjystBtalYeqaiXCcgEY,"contemporary country, pop, classic texas country"
2CYVETnhM9aytqrazYYwrK,pop
77sMIMlNaSURUAXq5coCxE,pop
1qrpoAMXodY6895hGKoUpA,pop
73W5aXorr5vxrySFcoZqIN,"eau claire indie, pop, folktronica"
