track_id,danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
5lZZmityu9TAjNvSY6GLhR,0.738,0.824,0.148,0.0,0.386,138.033,1,Relaxing Acoustic Tunes
22mek4IiqubGD9ctzxc69s,0.738,0.868,0.0392,0.00169,0.336,122.003,1,Relaxing Acoustic Tunes
4shgvM4ClrZeDiflNJwlGd,0.738,0.868,0.0371,0.0,0.199,130.003,1,Relaxing Acoustic Tunes
1x0NszvaftnHtijIId3ivk,0.183,0.664,0.148,2.12e-06,0.4,179.825,1,Relaxing Acoustic Tunes
4KJFUsUnQlK4vULykBTi5q,0.366,0.715,0.203,0.0,0.316,161.044,1,Relaxing Acoustic Tunes
1nVLAEzhBXMJLR5zAl90Nl,0.366,0.651,0.000415,0.00526,0.257,151.343,1,Relaxing Acoustic Tunes
1GP8VW5Wk2w2obkWjGCGXd,0.366,0.866,0.0274,3.07e-06,0.293,176.07,1,Relaxing Acoustic Tunes
6GVryHJpjnrnrsTggoNTpe,0.366,0.847,2.64e-05,0.0,0.606,166.17,1,Relaxing Acoustic Tunes
4u2pk0zATUkEeMtuuMtu46,0.366,0.492,0.0899,0.000994,0.349,197.768,1,Relaxing Acoustic Tunes
5FZxsHWIvUsmSK1IAvm2pp,0.366,0.94,0.000769,9.42e-05,0.369,130.198,1,Relaxing Acoustic Tunes
2gPl93XdGnfKUykwxVHUYt,0.366,0.667,0.00212,0.0,0.51,76.627,1,Relaxing Acoustic Tunes
77qveRnReN3HaFrikk58nB,0.366,0.797,0.0157,0.0,0.181,169.986,1,Relaxing Acoustic Tunes
3BHFResGQiUvbYToUdaDQz,0.491,0.748,0.0128,0.0,0.379,165.996,1,Relaxing Acoustic Tunes
3RiPr603aXAoi4GHyXx0uy,0.491,0.693,0.211,6.92e-06,0.412,90.027,1,Relaxing Acoustic Tunes
5xS9R5yNeVsB9shSR60eX3,0.491,0.688,0.0849,0.0,0.279,140.072,1,Relaxing Acoustic Tunes
5HYlYgsMLTOPyOD8CU3cbh,0.491,0.904,0.0998,0.0,0.581,150.023,1,Relaxing Acoustic Tunes
76vMKwFtdDDCLcM6zXybjB,0.491,0.867,0.167,0.0,0.602,167.965,1,Relaxing Acoustic Tunes
4LiMQ6G9n84rDUBs9wtwz6,0.491,0.907,0.0491,0.0,0.631,199.943,1,Relaxing Acoustic Tunes
2igwFfvr1OAGX9SKDCPBwO,0.491,0.956,0.0295,0.0,0.811,173.585,1,Relaxing Acoustic Tunes
0Qh38w01QRXK6KHIv0e3hb,0.491,0.588,0.0281,2.01e-06,0.193,113.608,1,Relaxing Acoustic Tunes
0ypg59NyOVCpWVzd0SUsT5,0.607,0.941,0.0217,0.071,0.414,144.04,1,Relaxing Acoustic Tunes
2sPva3d85R7yKf60y7QZpD,0.607,0.807,0.0067,1.18e-06,0.565,128.046,1,Relaxing Acoustic Tunes
0MrRAUcB8AZiB9ue2VOBYe,0.607,0.775,0.262,0.0,0.307,164.026,1,Relaxing Acoustic Tunes
1BCHhb7Zd9mK4X602uhZi3,0.607,0.565,0.0824,0.0,0.373,107.981,1,Relaxing Acoustic Tunes
3mTyzSoSqh6KJj9p88WHaY,0.607,0.733,0.000486,1.59e-06,0.57,140.097,1,Relaxing Acoustic Tunes
0BEiDA0JOycXaDI5ynEWgz,0.607,0.816,0.00136,0.0,0.57,133.992,1,Relaxing Acoustic Tunes
4Xzq2WibDHR5Eufi21HlEZ,0.607,0.762,0.0441,0.0,0.428,144.961,1,Relaxing Acoustic Tunes
340UVheS8z3ncW9TTUhAbc,0.607,0.622,0.0187,0.0,0.537,146.105,1,Relaxing Acoustic Tunes
6huNf4dutXRjJyGn7f5BPS,0.732,0.678,0.0867,2.41e-05,0.196,100.626,1,Relaxing Acoustic Tunes
2iW6Hb6kfrz2K7EhPibFiq,0.732,0.462,0.126,0.0,0.117,180.067,1,Relaxing Acoustic Tunes
